t_s,ch1_div,ch2_div
4.88553,1.4821,0.9379
4.89269,1.4786,0.9379
4.89984,1.4522,0.9352
4.90700,1.4404,0.9360
4.91415,1.4231,0.9340
4.92130,1.4096,0.9340
4.92846,1.3895,0.9320
4.93561,1.3691,0.9320
4.94277,1.3463,0.9360
4.94992,1.3129,0.9380
4.95708,1.3163,2.8907
4.96423,1.3163,2.3046
4.97138,1.2615,1.4980
4.97854,1.2374,1.3785
4.98569,1.2414,0.9420
4.99285,1.2384,0.9315
5.00000,4.8887,0.9261
