quantity,key,value,unit,status
wide_dchi2,10|1,362.537,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|2,307.774,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|3,260.219,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|4,221.501,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|5,193.234,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|6,177.864,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|7,177.224,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|8,194.266,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|9,231.180,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|10,290.874,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|11,376.741,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|12,491.691,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|13,639.900,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|14,825.082,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|15,1051.631,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|16,1324.082,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|17,1647.925,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|18,2028.694,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|19,2484.056,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,10|20,3189.720,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|0,550.887,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|1,479.119,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|2,412.876,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|3,353.887,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|4,303.498,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|5,263.948,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|6,237.145,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|7,225.884,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|8,232.347,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|9,259.516,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|10,310.113,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|11,387.562,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|12,495.579,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|13,637.986,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|14,818.871,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|15,1042.873,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|16,1315.053,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|17,1640.902,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|18,2033.583,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|19,2662.865,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,11|20,3592.169,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,12|0,701.088,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,12|1,616.294,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,12|2,536.782,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,12|3,464.070,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
wide_dchi2,12|4,400.163,delta chi2 (raw) [sl_index|gc_index],DIAGNOSTIC
