file,stage,role,peak,T,power_mW,bracket,trimmed,trim_start_ms,trim_end_ms,trim_reason,removed,removed_reason,status
rulers_t/4121nm_eom_110c1.csv,qc,ruler_t,4121,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_110c2.csv,qc,ruler_t,4121,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_110c3.csv,qc,ruler_t,4121,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_110c4.csv,qc,ruler_t,4121,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_110c5.csv,qc,ruler_t,4121,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_070c1.csv,qc,ruler_t,4121,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_070c2.csv,qc,ruler_t,4121,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_070c3.csv,qc,ruler_t,4121,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_070c4.csv,qc,ruler_t,4121,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_070c5.csv,qc,ruler_t,4121,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_090c1.csv,qc,ruler_t,4121,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_090c2.csv,qc,ruler_t,4121,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_090c3.csv,qc,ruler_t,4121,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_090c4.csv,qc,ruler_t,4121,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4121nm_eom_090c5.csv,qc,ruler_t,4121,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_110c1.csv,qc,ruler_t,4154,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_110c2.csv,qc,ruler_t,4154,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_110c3.csv,qc,ruler_t,4154,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_110c4.csv,qc,ruler_t,4154,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_110c5.csv,qc,ruler_t,4154,110,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_070c1.csv,qc,ruler_t,4154,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_070c2.csv,qc,ruler_t,4154,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_070c3.csv,qc,ruler_t,4154,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_070c4.csv,qc,ruler_t,4154,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_070c5.csv,qc,ruler_t,4154,70,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_090c1.csv,qc,ruler_t,4154,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_090c2.csv,qc,ruler_t,4154,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_090c3.csv,qc,ruler_t,4154,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_090c4.csv,qc,ruler_t,4154,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
rulers_t/4154nm_eom_090c5.csv,qc,ruler_t,4154,90,,,0,nan,nan,"not applicable, multi-peak trace",0,,DIAGNOSTIC
